상품명,화면크기,최대 해상도,최대 주사율,패널,곡면형,응답속도,별점,성능점수
DELL 울트라샤프 U2722DE,27,UHD,60,IPS,평면,0.4,3.78,9
벤큐 ZOWIE XL2731,27,FHD,165,VA,평면,0.1,4.56,4
비트엠 NEWSYNC 27R2 IPS 패스트 240 게이밍 280 UP,27,UHD,60,TN,평면,0.1,3.99,10
리버텍 픽셀아트 PAQ2720F IPS QHD 리얼 75,27,QHD,75,IPS,평면,0.4,4.89,5
경성글로벌코리아 언더독 MB27F240,27,UHD,144,IPS,평면,0.1,4.09,12
인터픽셀 IP2743,27,FHD,144,VA,평면,0.1,4.5,4
자비오씨엔씨 엑사비오 X2706EW HDMI,27,FHD,60,VA,평면,0.4,3.86,1
알파스캔 AOC 27P2Q 무결점,27,UHD,60,IPS,평면,0.5,3.72,9
삼성전자 LF27T350FHKXKR 68.6cm 27인치 IPS패널 베젤리스 LED모니터 F27T350,27,QHD,165,VA,평면,0.1,4.13,8
DELL 에일리언웨어 AW2721D,27,QHD,75,IPS,평면,0.4,3.95,5
인터픽셀 IPQ2740,27,FHD,75,IPS,평면,0.5,4.94,1
알파스캔 에이건 AGON 273QXP,27,FHD,75,IPS,평면,0.5,3.92,1
삼성전자 삼성 S27F356,27,FHD,60,IPS,평면,0.5,3.78,1
BABEL BM-2707LED HDMI 게이밍 75 베젤리스 광시야각 아이케어,27,FHD,240,TN,평면,0.1,4.3,4
BABEL BM-2724DP 240 게이밍 HDR 베젤리스 아이케어,27,FHD,75,IPS,평면,0.5,3.66,1
BABEL BM-2716LED DP 게이밍 165 베젤리스 광시야각 아이케어,27,FHD,60,IPS,평면,0.5,4.62,1
LG전자 27MD5KL,27,FHD,75,VA,평면,0.5,3.77,1
LG전자 울트라기어 27GN600,27,FHD,75,IPS,평면,0.1,3.86,2
필립스 288E 4K UHD 시력보호,27,FHD,75,VA,평면,0.5,4.86,1
이지아이티시스템 APEX-27REAL165,27,QHD,100,IPS,평면,0.1,4.65,6
비트엠 NEWSYNC B284K UHD HDR,27,FHD,75,VA,평면,0.5,4.27,1
필립스 275E2FE QHD 4면 보더리스 높낮이 시력보호,27,FHD,75,IPS,평면,0.5,3.98,1
주연테크 V27QI-75M,27,FHD,60,IPS,평면,0.5,4.51,1
필립스 279M1RV 나노 IPS UHD 144 프리싱크 HDR 600 게이밍,27,QHD,60,IPS,평면,0.5,4.2,5
삼성전자 오디세이 G3 F27G33T,27,QHD,165,IPS,평면,0.5,4.24,7
주연테크 X27QC-165,27,UHD,60,IPS,평면,0.5,4.36,9
DELL S2722DC,27,QHD,75,IPS,평면,0.5,3.86,5
에이메카 AM-277PH 75 Plus,27,UHD,60,IPS,평면,0.4,3.95,9
디엑스 DX275HDMI,27,UHD,60,IPS,평면,0.5,4.58,9
좋은디에스아이 GD-27F75H SUN SLIM,27,FHD,75,IPS,평면,0.5,3.54,1
HP E27 G4 9VG71AA,27,FHD,60,IPS,평면,0.5,4.46,1
ASUS VZ27EHE 시력보호 Gaming 베젤리스,27,FHD,165,IPS,평면,0.1,4.56,4
크로스오버존 크로스오버 T27C33 75,27,FHD,75,VA,평면,0.4,3.56,1
엠텍코리아 Viewsys MT27F75 G1 IPS 75 FHD 베젤리스,27,UHD,60,IPS,평면,0.5,4.53,9
제이씨현시스템 유디아 EDGE ED2720VA 유케어 75 홈엔터,27,FHD,165,IPS,평면,0.1,4.34,4
필립스 272S IPS 75 무결점,27,FHD,75,IPS,평면,0.5,4.42,1
LG전자 27TK600D,27,QHD,144,VA,평면,0.4,4.62,7
LG전자 울트라와이드 29WN600,27,FHD,165,VA,평면,0.1,3.51,4
리버텍 픽셀아트 PAQ2730F MULTI IPS QHD 리얼 100,27,FHD,165,VA,평면,0.1,4.07,4
래안텍 EdgeArt F2775K 75,27,UHD,60,IPS,평면,0.4,3.75,9
제이씨현시스템 유디아 LOOK LK2722PA 유케어 75 프리싱크,27,UHD,75,IPS,평면,0.2,3.94,9
DELL P2719H,27,QHD,75,IPS,평면,0.5,4.08,5
DELL P2720D,27,FHD,165,IPS,커브드,0.1,4.04,4
메타닉스 EG2740 FHD IPS 165 EDGE 게이밍 화이트,27,FHD,60,IPS,평면,0.5,4.94,1
ASUS VG278QR,27,QHD,165,IPS,평면,0.1,3.58,8
한성컴퓨터 TFG27U06P 4K IPS HDR,27,QHD,165,IPS,평면,0.4,4.98,7
경성글로벌코리아 언더독 MB27Q75 75,27,QHD,75,IPS,평면,0.4,4.18,5
비트엠 NEWSYNC 2760U 4K HDR,27,QHD,60,IPS,평면,0.5,4.67,5
DELL SE2723DS,27,QHD,170,IPS,평면,0.5,4.94,7
알파스캔 U27V 4K UHD 무결점,27,FHD,165,VA,커브드,0.1,3.81,4
크로스오버존 크로스오버 F2795 IPS FHD HDR 평면,27,QHD,170,IPS,평면,0.1,3.62,8
LG전자 리퍼모니터 27인치모니터 27MK430H (FHD/IPS),27,FHD,240,VA,커브드,0.1,3.68,4
엠텍코리아 ViewSys F2740W IPS 165 게이밍 화이트,27,FHD,240,TN,평면,0.1,4.28,4
리버텍 픽셀아트 PA272MF 아이케어 프리싱크 75,27,FHD,75,IPS,평면,0.5,4.22,1
엠텍코리아 ViewSys MT28U06 MULTI IPS 4K UHD,27,FHD,75,IPS,평면,0.5,4.33,1
ASUS TUF Gaming VG279QR,27,QHD,75,IPS,평면,0.1,4.8,6
LG전자 27MK600MW,27,FHD,75,IPS,평면,0.5,4.19,1
삼성전자 삼성 게이밍 144 QHD C27JG54 프리싱크,27,QHD,240,IPS,평면,0.1,3.58,8
정림전자 지마스타 JG271L6742 퀀텀닷 리얼 165 HDR,27,FHD,75,IPS,평면,0.5,4.5,1
카멜 CM2710G 165,27,FHD,75,VA,평면,0.5,4.45,1
DELL S2722QC,27,UHD,60,IPS,평면,0.5,4.09,9
KXG ART 27FD 4K UHD,27,FHD,165,IPS,평면,0.1,4.75,4
비트엠 NEWSYNC X27Q75 IPS LASER HDR,27,UHD,60,IPS,평면,0.5,4.37,9
비트엠 NEWSYNC X27FC165,27,FHD,75,VA,평면,0.5,4.98,1
삼성전자 오디세이 G5 S27AG500 165,27,QHD,165,IPS,평면,0.1,4.04,8
알파스캔 콘퀘스트 27Q90G 165 무결점,27,FHD,75,TN,평면,0.5,4.64,1
필립스 275S IPS 피벗 높낮이 75 시력보호,27,QHD,165,IPS,평면,0.1,3.68,8
벤큐 PD2705Q 아이케어,27,FHD,144,IPS,평면,0.1,3.81,4
비트엠 NEWSYNC X27F75 IPS ZERO HDR,27,UHD,60,IPS,평면,0.5,4.51,9
뷰소닉 VX2718-PC-MHD 1500R 커브드 리얼 165 게이밍,27,FHD,75,VA,평면,0.5,4.69,1
컴이지 킹덤 K2714B QHD REAL144 GAMING 무결점,27,QHD,165,VA,커브드,0.1,3.63,8
알파스캔 Q27G2SD 170 무결점,27,UHD,60,IPS,평면,0.5,3.86,9
래안텍 CFB2740S 240,27,FHD,144,IPS,평면,0.1,3.62,4
제이씨현시스템 유디아 EDGE 27FM3 유케어 240 게이밍 HDR,27,UHD,60,IPS,평면,0.5,4.65,9
삼성전자 27인치 컴퓨터모니터 베젤리스 FreeSync 75Hz LF27T350FHKXKR 가정용 사무용,27,QHD,75,IPS,평면,0.4,4.15,5
TZ-27FA75B SLIM 블랙,27,FHD,60,IPS,평면,0.5,4.55,1
제이씨현시스템 유디아 EDGE ED2720KC 유케어 QHD 프리싱크 75 IPS,27,FHD,240,VA,커브드,0.4,4.58,3
벤큐 모비우스 MOBIUZ EX270QM 무결점 27인치 게이밍 모니터 / QHD IPS 패널 / 240Hz 1ms GTG / VESA HDR 600 / treVolo Sound,27,QHD,240,IPS,평면,0.1,4.77,8
큐브코리아 MOTV M2702LED 75 HDMI IPS 베젤리스,27,FHD,75,VA,평면,0.5,4.41,1
비트엠 NEWSYNC B275H ZERO 프리싱크 HDR,27,FHD,60,IPS,평면,0.5,3.55,1
벤큐 EW2880U,27,QHD,165,VA,커브드,0.1,3.61,8
크로스오버존 크로스오버 27UR3,27,FHD,60,VA,평면,0.4,4.91,1
크로스오버존 크로스오버 27FN75,27,FHD,75,IPS,평면,0.5,4.67,1
[단순 개봉 제품] MSI 옵틱스 G271상품 게이밍 144 아이세이버,27,FHD,75,IPS,평면,0.5,4.01,1
크로스오버존 크로스오버 279Q7 165,27,FHD,75,IPS,평면,0.1,4.24,2
비트엠 SMACO M2750H 프리싱크 HDR,27,QHD,165,IPS,평면,0.5,3.75,7
래안텍 BLAZE QA2760CE 165,27,QHD,60,IPS,평면,0.5,4.34,5
LG전자 울트라기어 27GL650F,27,FHD,240,IPS,평면,0.1,3.86,4
벤큐 PD2705U,27,QHD,240,VA,커브드,0.1,3.77,8
크로스오버존 크로스오버 오버파워 27N75,27,FHD,165,IPS,평면,0.1,3.78,4
벤큐 모비우스 EX2710R 165,27,FHD,75,VA,커브드,0.4,3.57,1
삼성전자 뷰피니티 S8 S27B800 27인치 모니터 UHD 4K IPS USB-C LS27B800PXKXKR,27,FHD,75,IPS,평면,0.5,4.36,1
알파스캔 AOC 27G2E 게이밍 144 프리싱크 무결점,27,FHD,60,IPS,평면,0.5,3.78,1
인터픽셀 IPU2710 4K IPS 멀티스탠드,27,FHD,75,IPS,평면,0.5,4.44,1
필립스 275B1 QHD 웹캠 75 시력보호 무결점 모니터 27인치 인강용 사무용 회의용 화상회의,27,FHD,144,IPS,평면,0.1,4.17,4
벤큐 XL2740,27,FHD,60,VA,평면,0.4,4.3,1
LG전자 27MP58VQ,27,FHD,75,IPS,평면,0.5,4.16,1
삼성전자 삼성 게이밍 240 C27RG50 G-sync 호환,27,FHD,60,IPS,평면,0.5,4.09,1
클라인즈 K27MC6 게이밍 144,27,FHD,75,IPS,평면,0.5,4.34,1
필립스 276M1RPE 나노 IPS QHD 240 프리싱크 HDR 600 게이밍,27,FHD,165,VA,평면,0.1,3.59,4
크로스오버존 크로스오버 27V75,27,QHD,165,IPS,평면,0.1,4.68,8
한성컴퓨터 TFG27Q16G 165,27,QHD,240,VA,커브드,0.1,4.19,8
삼성전자 27인치(68.6cm) 오디세이 G3 S27AG300 게이밍 세로 모니터 LS27AG300NKXKR 1ms 144Hz 피벗 스위블 높낮이조절,27,QHD,240,IPS,평면,0.5,4.45,7
삼성전자 스마트 모니터 M5 27인치(68.6cm) 화이트 S27BM501 LS27BM501EKXKR 스피커내장 넷플릭스 유튜브 디즈니플러스,27,FHD,144,IPS,평면,0.5,4.49,3
필립스 275E2F QHD 4면 보더리스 프리싱크 시력보호,27,QHD,144,IPS,평면,0.5,4.72,7
